input,target
"The novel explores complex themes and presents a unique perspective on human relationships, which is super intriguing.","The novel explores complex themes and presents a unique perspective on human relationships, which is quite intriguing."
The mechanic repaired the car and informed it's owner about the repairs.,The mechanic repaired the car and informed its owner about the repairs.
They enjoys reading mystery novels.,They enjoy reading mystery novels.
The photographer is taking pictures of a wildlife.,The photographer is taking pictures of wildlife.
She was very reluctant to except his apology.,She was very reluctant to accept his apology.
He have a collection of rare coins.,He has a collection of rare coins.
"The new software is more complicated than the previous version, but less than the competitor's.","The new software is more complicated than the previous version, but less complicated than the competitor's."
The children are playing a soccer in a park.,The children are playing soccer in the park.
He don't know how to fix the broken faucet.,He doesn't know how to fix the broken faucet.
"I love reading books, like; Harry Potter, and Lord of the Rings.","I love reading books, like Harry Potter and Lord of the Rings."
"The new restaurant offers a wide variety of dishes, and the ambiance is pretty chill.","The new restaurant offers a wide variety of dishes, and the ambiance is quite relaxed."
"That's a nice shirt, where did you get it's design?","That's a nice shirt, where did you get its design?"
She will arrive at Monday night.,She will arrive on Monday night.
He likes to watch movies he has a large collection of DVDs.,"He likes to watch movies, and he has a large collection of DVDs."
The painting is hanging on the wall.,The painting is hanging upon the wall.
The librarian helped the student find the book she was looking for.,The librarian helped the student find the book she was looking for.
The doctor said my blood pressure are high.,The doctor said my blood pressure is high.
The director instructed to subtly change the scene.,The director instructed to change the scene subtly.
"We have planted tomatoes, potatos, and carrots in our garden.","We have planted tomatoes, potatoes, and carrots in our garden."
The project deadline is approaching they're working late hours.,"The project deadline is approaching, so they're working late hours."
They are friends they met in college.,They are friends who met in college.
He doesn't wants to eat.,He doesn't want to eat.
I needs help with this heavy box.,I need help with this heavy box.
"You better not be late to the meeting, or else.","You should not be late to the meeting, or there will be consequences."
The test was difficult... managed to pass.,"The test was difficult, but I managed to pass."
The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
He always forgets to carefully proofread his essays.,He always forgets to proofread his essays carefully.
The teacher told the students that they needs to study harder.,The teacher told the students that they need to study harder.
"The class covers grammar, vocabulary, and how to improve pronunciation.","The class covers grammar, vocabulary, and pronunciation improvement."
He can't lift no heavy weights.,He can't lift any heavy weights.
"I have a dentist appointment at 3:00 PM, I need to leave work early.",I have a dentist appointment at 3:00 PM; I need to leave work early.
The researchers aimed to objectively analyze the data.,The researchers aimed to analyze the data objectively.
The crowd of spectators cheers for their favorite team.,The crowd of spectators cheer for their favorite team.
The selection of movies at the theater is impressive.,The selection of movies at the theater are impressive.
I am sorry for disturb you at this late hour.,I am sorry for disturbing you at this late hour.
"The bakery sells donuts, bagels, and various kind of breads.","The bakery sells donuts, bagels, and various kinds of bread."
The author tried to eloquently express her thoughts.,The author tried to express her thoughts eloquently.
The chef cooked up some delish dishes.,The chef prepared some delicious dishes.
"A picture is worth a thousand words, but it's better to be safe than sorry.",A picture is worth a thousand words.
The museum is featuring a new exhibit about a ancient civilizations.,The museum is featuring a new exhibit about ancient civilizations.
I won't watch no more TV tonight.,I won't watch any more TV tonight.
There weren't no snacks at the event.,There were no snacks at the event.
My new phone is more thinner than my old one.,My new phone is thinner than my old one.
The building is surrounded with trees.,The building is surrounded by trees.
The students are learning a chemistry in class.,The students are learning chemistry in class.
The coffee was made by Kevin for the morning meeting.,Kevin made the coffee for the morning meeting.
She's a memb of the PTA at her child's school.,She's a member of the Parent-Teacher Association at her child's school.
The actor won an award is known for his versatility.,The actor who won an award is known for his versatility.
They're going to there friend's house for dinner.,They're going to their friend's house for dinner.
The movie is based in a true story.,The movie is based on a true story.
The team worked hard... completed the project on time.,The team worked hard and completed the project on time.
"The course teaches web design, coding, and you can build your portfolio.","The course teaches web design, coding, and portfolio building."
She's hair is long and curly.,Her hair is long and curly.
He said I’m sorry.,"He said, “I’m sorry.”"
He had sleep for ten hours.,He had slept for ten hours.
He is the most oldest person in the family.,He is the oldest person in the family.
The most more difficult decision I've made was to quit my job.,The more difficult decision I've made was to quit my job.
He can't drink no alcohol tonight.,He can't drink any alcohol tonight.
They're dog has been missing since yesterday.,Their dog has been missing since yesterday.
How are you doing today?,How are you doing today?
This chocolate is more sweeter than the other one.,This chocolate is sweeter than the other one.
The sun sets in the west and rises in the east.,The sun sets in the west and rises in the east.
"If the bus was on time, I will not be late.","If the bus were on time, I would not be late."
The collection of essays was edited by the professor.,The collection of essays were edited by the professor.
The client's server got a DDoS attack last night.,The client's server experienced a distributed denial-of-service attack last night.
The dog layed on the floor.,The dog lay on the floor.
The meeting was less longer than I anticipated.,The meeting was shorter than I anticipated.
"The concert tickets are pricey, but the experience will be worth it, trust me.","The concert tickets are expensive, but the experience will be worth it."
The new OS update includes many UX/UI impr.,The new operating system update includes many user experience/user interface improvements.
"If it was warmer, we will go swimming.","If it were warmer, we would go swimming."
"The rain caused the street to flood, result in a traffic jam.","The rain caused the street to flood, resulting in a traffic jam."
"She is taller than her brother, but not as much as her sister.","She is taller than her brother, but not as tall as her sister."
The gardener watered the plants and took care of there needs.,The gardener watered the plants and took care of their needs.
"She was feeling tired, so she decided to took a nap.","She was feeling tired, so she decided to take a nap."
The athlete wins the gold medal in the race.,The athlete won the gold medal in the race.
The passengers are waiting for a train at a train station.,The passengers are waiting for the train at the train station.
The novel was most more engaging than the movie.,The novel was more engaging than the movie.
She go to the library every Tuesday.,She goes to the library every Tuesday.
John is a better cook than a musician Sam.,John is a better cook than Sam is a musician.
He had a lot of patients as a doctor.,He had a lot of patients as a doctor.
She's job is to manage the team's schedule.,Her job is to manage the team's schedule.
The computers in the lab was updated last week.,The computers in the lab were updated last week.
The documentary focused on environmental issues narrated by a famous actor.,The documentary narrated by a famous actor focused on environmental issues.
The doctor told him to get plenty of rest and fluids.,The doctor told him to get plenty of rest and fluids.
"The store offers a wide range of products, competitive prices, and to provide excellent customer service.","The store offers a wide range of products, competitive prices, and provides excellent customer service."
The cake was eaten by the guests at the party.,The guests ate the cake at the party.
"I can't find my wallet, it's owner must be worried.","I can't find my wallet, its owner must be worried."
The hotel is luxurious... expensive.,The hotel is luxurious but expensive.
It's a beautiful day... let's go for a walk.,"It's a beautiful day, so let's go for a walk."
"The book is an in-depth analysis of human behavior, which is kinda interesting.","The book is an in-depth analysis of human behavior, which is quite interesting."
"The dog wagged it's tail, and barked.",The dog wagged its tail and barked.
"You can't teach an old dog new tricks, but the show must go on.",You can't teach an old dog new tricks.
The team were working on the project.,The team was working on the project.
The car's fuel eff is rated at 35mpg on hwy.,The car's fuel efficiency is rated at 35 miles per gallon on the highway.
Few of the people in this town have ever seen snow.,Few people in this town have ever seen snow.
"The meeting agenda includes introductions, updates, and to discuss future plans.","The meeting agenda includes introductions, updates, and future plan discussions."
She's been feeling kinda meh lately.,She's been feeling somewhat indifferent lately.
The cake needs more icing; it's not enough.,The cake needs more icing; there isn't enough.
The experiment was conducted by the scientist with great precision.,The experiment with great precision was conducted by the scientist.
"He was very tired, so he layed down on the couch.","He was very tired, so he lay down on the couch."
the sun rises in the east and sets in the west.,The sun rises in the east and sets in the west.
I apologize for any inconvenience my mistake may have cause.,I apologize for any inconvenience my mistake may have caused.
"The exhibition showcases contemporary art, photography, and to feature performances.","The exhibition showcases contemporary art, photography, and features performances."
The computer is running slow it needs an upgrade.,"The computer is running slow, so it needs an upgrade."
The most easiest way to learn is by doing.,The easiest way to learn is by doing.
The baby kitten is so small and tiny.,The baby kitten is so small.
He works as a teacher in a school.,He works as a teacher at a school.
I have to finish my work by the end of the day today.,I have to finish my work by the end of the day.
She running in the park every morning.,She runs in the park every morning.
The children were so bore at the museum.,The children were so bored at the museum.
The teacher told us to actively participate in class.,The teacher told us to participate actively in class.
I have been waiting him since morning.,I have been waiting for him since morning.
He is attending a conference on a technology.,He is attending a conference on technology.
Time flies you fun.,Time flies when you're having fun.
"The presentation is informative, and it is engaging.",The presentation is informative and engaging.
She didn't learn nothing from the course.,She didn't learn anything from the course.
The little small puppy was so cute.,The little puppy was so cute.
"The experiment tested the effects of temperature, humidity, and to measure air pressure.","The experiment tested the effects of temperature, humidity, and air pressure measurement."
The herd of cows graze in the field.,The herd of cows grazes in the field.
The conference starts at 9 AM it ends at 5 PM.,"The conference starts at 9 AM, and it ends at 5 PM."
He was more colder than his brother.,He was colder than his brother.
Let's not open up that can of worms in the same boat.,Let's not open up that can of worms.
Some of the articles in this magazine are informative.,Some articles in this magazine are informative.
She's biting off more than she can chew between a rock and a hard place.,She's biting off more than she can chew.
"The car's breaks failed, causing it to crash into a tree.","The car's brakes failed, causing it to crash into a tree."
The students were waiting impatiantly for the test results.,The students were waiting impatiently for the test results.
He was effected by the new regulations.,He was affected by the new regulations.
"The event included an opening ceremony, guest speakers, and it had an awards presentation.","The event included an opening ceremony, guest speakers, and an awards presentation."
The man who dropped his wallet I returned it to him.,I returned the wallet to the man who dropped it.
"The project involves data collection, analysis, and how to make recommendations.","The project involves data collection, analysis, and recommendation making."
"My car's been acting up, gotta get it checked.","My car has been having issues, I need to get it checked."
The athlete worked hard to improve them performance.,The athlete worked hard to improve his or her performance.
The crowd is cheering for a home team at a sports event.,The crowd is cheering for the home team at the sports event.
The store was closed... managed to find what I needed online.,"The store was closed, but I managed to find what I needed online."
I like to travel I've been to many countries.,"I like to travel, as I've been to many countries."
I dont know what your talking about.,I don’t know what you’re talking about.
The council members gathered to discuss about their community.,The council members gathered to discuss their community.
She do her homework every day.,She does her homework every day.
"I can't stand the cold, it's way too friggin' cold.","I can't stand the cold, it's much too cold."
The house was beautiful... needed a lot of work.,"The house was beautiful, but it needed a lot of work."
I saw the dog running across the street wagging its tail.,I saw the dog wagging its tail running across the street.
She is a female woman who works as a nurse.,She is a woman who works as a nurse.
"The baby, asleep, parents relieved.","The baby was asleep, and the parents were relieved."
"The manager encouraged the employees to think outside the box and come up with innovative ideas, y'all.",The manager encouraged the employees to think outside the box and come up with innovative ideas.
"The phone is expensive, and it has many features.",The phone is expensive with many features.
It's hard nut crack.,It's a hard nut to crack.
The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
I love reading books especially novels.,"I love reading books, especially novels."
"The school's reputation has improved, it's ranking is higher.","The school's reputation has improved, its ranking is higher."
This computer is most faster than the old one.,This computer is faster than the old one.
The water is more deeper here than over there.,The water is deeper here than over there.
"The recipe calls for chopped onions, minced garlic, and you should add salt to taste.","The recipe calls for chopped onions, minced garlic, and salt to taste."
"The movie was scary, but I enjoyed watching it.","The movie was scary, but I enjoyed watching it."
The dog chased it's tail.,The dog chased its tail.
The plants need a water and a sunlight to grow.,The plants need water and sunlight to grow.
The machine I'm using it at the gym is broken.,The machine that I'm using at the gym is broken.
The meeting will be held on the conference room.,The meeting will be held in the conference room.
"We're going to the park, but their's no parking nearby.","We're going to the park, but there's no parking nearby."
He is listening to a music on a radio.,He is listening to music on the radio.
The candidate was nervus during the job interview.,The candidate was nervous during the job interview.
The chef tried to perfectly cook the steak.,The chef tried to cook the steak perfectly.
The play was directed by Susan at the community theater.,Susan directed the play at the community theater.
She works in a finance industry.,She works in the finance industry.
I don't know where it's key is.,I don't know where its key is.
She was so tired... couldn't keep her eyes open.,She was so tired that she couldn't keep her eyes open.
The concert begins in an hour.,The concert will begin in an hour.
"John's favorite subjects are history, math and science.","John's favorite subjects are history, math, and science."
"The phone's camera is impressive, it's pictures are high quality.","The phone's camera is impressive, its pictures are high quality."
The architect planned to creatively design the building.,The architect planned to design the building creatively.
The soccer player was injure during the game.,The soccer player was injured during the game.
He lives in a small village near the mountains.,He lives in a small village close to the mountains.
Can you tell me were the nearest bank are?,Can you tell me where the nearest bank is?
Kindly refrain from makin' noise during the presentation.,Please refrain from making noise during the presentation.
"The festival celebrates music, culture, and to bring people together.","The festival celebrates music, culture, and brings people together."
The garden is beautiful... requires a lot of maintenance.,"The garden is beautiful, but it requires a lot of maintenance."
I need to repeat again what I said earlier.,I need to repeat what I said earlier.
"The ball is in your court, but every cloud has a silver lining.",The ball is in your court.
"The new policy aims to encourage transparency, accountability, and to foster collaboration.","The new policy aims to encourage transparency, accountability, and foster collaboration."
They was late for meeting.,They were late for the meeting.
The musicians practices together every Saturday.,The musicians practice together every Saturday.
The CEO presented a brief summary and a concise overview.,The CEO presented a brief summary.
She likes to travel she has been to many countries.,"She likes to travel, and she has been to many countries."
"I have a question, can I axe you something?","I have a question, can I ask you something?"
"It's raining outside, so don't forget to take a umbrela.","It's raining outside, so don't forget to take an umbrella."
The cake was bake in the oven.,The cake was baked in the oven.
She has ran three miles.,She has run three miles.
He is the most strongest man in the competition.,He is the strongest man in the competition.
She was standing beside the window.,She was standing next to the window.
My cousin told me while eating a story about her vacation.,"While eating, my cousin told me a story about her vacation."
He's giving cold shoulder.,He's giving her the cold shoulder.
The car was wash by the teenager.,The car was washed by the teenager.
He's dime a dozen.,He's a dime a dozen.
The birds were flying over the lake.,The birds were flying above the lake.
The students studies for the exam.,The students study for the exam.
The books is on the desk.,The books are on the desk.
She's a great cook... doesn't like to bake.,"She's a great cook, but she doesn't like to bake."
The article was published by the magazine in the latest issue.,The magazine published the article in the latest issue.
"A penny saved is a penny earned, but money can't buy happiness.",A penny saved is a penny earned.
She has a few books that she wants to reading.,She has a few books that she wants to read.
The dog is very friendly and loves to play fetch.,The dog is very friendly and loves to play fetch.
She are a great dancer.,She is a great dancer.
The scientist is conducting a research on a climate change.,The scientist is conducting research on climate change.
The weather outside is cold and chilly today.,The weather outside is cold today.
"The article discusses the importance of education, skill development, and to promote lifelong learning.","The article discusses the importance of education, skill development, and promoting lifelong learning."
"If you eat too much, you might have felt sick.","If you eat too much, you might feel sick."
"The book is engaging, informative, and using real-life examples.","The book is engaging, informative, and uses real-life examples."
He wanted to go to the park but his mother said no.,"He wanted to go to the park, but his mother said no."
"The music, soothing, people relaxing.","The music was soothing, and people were relaxing."
That's wolf sheep's clothing.,That's a wolf in sheep's clothing.
The cake is sweet and has a sugary taste.,The cake is sweet.
"The road to hell is paved with good intentions, but every cloud has a silver lining.",The road to hell is paved with good intentions.
They combined together their resources to achieve their goal.,They combined their resources to achieve their goal.
Some of people like to play basketball.,Some people like to play basketball.
The new intern's a total go-getter.,The new intern is highly motivated.
The ice cream shop is near the park.,The ice cream shop is close to the park.
The concert will be held at the park on Saturday.,The concert will be held at the park this Saturday.
He the best teacher.,He is the best teacher.
The scientist aimed to accurately record all the data.,The scientist aimed to record all the data accurately.
The bicycle was fixed by the mechanic at the shop.,The mechanic fixed the bicycle at the shop.
The painting is an original copy of the famous artist's work.,The painting is an original work of the famous artist.
The group of musicians have a unique sound.,The group of musicians has a unique sound.
I have a friend is a doctor.,I have a friend who is a doctor.
"The conference is an opportunity for professionals to network and exchange ideas, dude.",The conference is an opportunity for professionals to network and exchange ideas.
The doctor was examine the patient.,The doctor examined the patient.
"If they will arrive earlier, they could have helped us.","If they arrived earlier, they could help us."
"To securely store your passwords, use a password manager.","To store your passwords securely, use a password manager."
The boy throwed the ball to his friend in the park.,The boy threw the ball to his friend in the park.
The scientist studied the organism's adapt to their environment.,The scientist studied the organisms' adaptation to their environment.
The weather forecast say it will rain tomorrow.,The weather forecast says it will rain tomorrow.
He were helping his friend move furniture.,He was helping his friend move furniture.
"The conference starts at 9:00 AM, make sure to bring your ID.",The conference starts at 9:00 AM; make sure to bring your ID.
the national aeronautics and space administration (nasa) was founded in 1958.,The National Aeronautics and Space Administration (NASA) was founded in 1958.
He is a member of a chess club.,He is a member of the chess club.
The children plays in the park every afternoon.,The children play in the park every afternoon.
The flowers has bloomed in the spring.,The flowers bloom in the spring.
The reason for the delay is due to the weather.,The delay is due to the weather.
"If he studied harder, he will pass the exam.","If he studied harder, he would pass the exam."
The group of scientists study the effects of climate change.,The group of scientists studies the effects of climate change.
"They the store, buying groceries.","They were at the store, buying groceries."
She was a great cook and her lasagna was delisious.,"She was a great cook, and her lasagna was delicious."
I went to the store... bought milk.,I went to the store and bought milk.
The chef cook dinner for the guests.,The chef cooks dinner for the guests.
The phone battery drained quick and died.,The phone battery drained quickly and died.
The childrens went to the park.,The children went to the park.
The employees are attending a training session at a company.,The employees are attending a training session at the company.
The book is long... very interesting.,The book is long but very interesting.
He was walk in the park when he found a wallet.,He was walking in the park when he found a wallet.
They're trying to efficiently manage their time.,They're trying to manage their time efficiently.
The car was out of gas he had to walk to the nearest station.,"The car was out of gas, so he had to walk to the nearest station."
i need to book a flight to london on british airways.,I need to book a flight to London on British Airways.
They was listening to music.,They were listening to music.
"When the car broke down, the mechanic fixed them.","When the car broke down, the mechanic fixed it."
She complimented him on his descent performance.,She complimented him on his decent performance.
She am not interested in politics.,She is not interested in politics.
The artist used a watercolor to paint a picture.,The artist used watercolor to paint the picture.
The computer was repaired by the technician yesterday.,The technician repaired the computer yesterday.
He is tall in height and has brown hair.,He is tall and has brown hair.
They walked among the trees.,They walked amidst the trees.
The athlete jumped over the huddle with ease.,The athlete jumped over the hurdle with ease.
The most deepest part of the ocean is the Mariana Trench.,The deepest part of the ocean is the Mariana Trench.
I want to loose some weight before the event.,I want to lose some weight before the event.
The final outcome will be the ultimate result.,The outcome will be the final result.
Many of the hotels in this city are fully booked during the summer.,Many hotels in this city are fully booked during the summer.
The library is close on Sundays.,The library is closed on Sundays.
In her free time she enjoys cooking playing tennis and reading.,"In her free time, she enjoys cooking, playing tennis, and reading."
The group of instruments in the orchestra creates a unique sound.,The group of instruments in the orchestra create a unique sound.
Many of the animals in this zoo are endangered.,Many animals in this zoo are endangered.
She is reading a book about the history.,She is reading a book on the history.
The athlete is train for the competition.,The athlete is training for the competition.
I have been study for the test for two weeks.,I have been studying for the test for two weeks.
She can plays the piano and the guitar very well.,She can play the piano and the guitar very well.
The assortment of candies in the store looks delicious.,The assortment of candies in the store look delicious.
"The garden, beautiful, flowers everywhere.","The garden was beautiful, with flowers everywhere."
The boy was scolded by the teacher for not doing his homework with tears in his eyes.,The boy with tears in his eyes was scolded by the teacher for not doing his homework.
"I'm going to the store and then to the bank, grocery shopping, and picking up the kids.","I'm going to the store, then to the bank, grocery shopping, and picking up the kids."
It's essential to brush your teeth twice a day for prevent cavities.,It's essential to brush your teeth twice a day to prevent cavities.
Few of the products in this store are made from sustainable materials.,Few products in this store are made from sustainable materials.
"The library is quiet, it's atmosphere is perfect for studying.","The library is quiet, its atmosphere is perfect for studying."
The books is on the shelf in the library.,The book is on the shelf in the library.
It's color is fading after multiple washes.,Its color is fading after multiple washes.
The number of books in the library continues to grow.,The number of books in the library continue to grow.
The play was directed by a renowned director with an unusual twist.,The play with an unusual twist was directed by a renowned director.
She's phone is out of battery.,Her phone is out of battery.
He have a meeting at 10 o'clock.,He has a meeting at 10 o'clock.
I should of studied harder.,I should have studied harder.
"The concert was loud, energetic, and it was an unforgettable experience.","The concert was loud, energetic, and unforgettable."
You got any idea how to fix this?,Do you have any idea how to fix this?
"The ingredients list include flour, suger, and eggs.","The ingredients list includes flour, sugar, and eggs."
They were surprised with the news.,They were surprised by the news.
Could you gimme some advice on this essay?,Could you give me some advice on this essay?
"The meeting was productive, informative, and included brainstorming sessions.","The meeting was productive, informative, and included brainstorming sessions."
I went to the store store.,I went to the store.
"The project requires careful planning, effective communication, and to monitor progress.","The project requires careful planning, effective communication, and progress monitoring."
"If I met him yesterday, I will tell him the news.","If I had met him yesterday, I would have told him the news."
He likes pizza pasta and burgers.,"He likes pizza, pasta, and burgers."
The flowers in the garden lost they're color.,The flowers in the garden lost their color.
The doctor is giving advice on a healthy lifestyle.,The doctor is giving advice on healthy lifestyle.
"The party was less exciting than the concert, but more than the movie.","The party was less exciting than the concert, but more exciting than the movie."
He is the most more skillful player on the team.,He is the most skillful player on the team.
I wants to learn how to play the guitar.,I want to learn how to play the guitar.
The cake is divided between four people.,The cake is divided among four people.
"The phone battery is dead, could you charged it?",The phone battery is dead; could you charge it?
She wanted to passionately advocate for her cause.,She wanted to advocate passionately for her cause.
The team is working on their project.,The team is working on its project.
The book is laying over the desk.,The book is lying on the desk.
The cat chased the mouse but it couldn't catched it.,The cat chased the mouse but couldn't catch it.
the amazon rainforest is the largest tropical rainforest in the world.,The Amazon Rainforest is the largest tropical rainforest in the world.
She was sitting on a bench in the park.,She was sitting on a bench at the park.
The company's annual revenue has increasd by 10% this year.,The company's annual revenue has increased by 10% this year.
"The weather is sunny, but it is also windy.",The weather is sunny and also windy.
The variety of food at the buffet has something for everyone.,The variety of food at the buffet have something for everyone.
"A chain is only as strong as its weakest link, but all's fair in love and war.",A chain is only as strong as its weakest link.
"The meeting, is at 2:00 PM please arrive early.",The meeting is at 2:00 PM; please arrive early.
"If he will stop smoking, his health would improve.","If he stopped smoking, his health would improve."
Lemme know if you need any assistance with the project.,Let me know if you need any assistance with the project.
She doesn't own no fancy clothes.,She doesn't own any fancy clothes.
"This computer is more expensive than the other, but less than the newest model.","This computer is more expensive than the other, but less expensive than the newest model."
The mechanic fixed my car is very skilled.,The mechanic who fixed my car is very skilled.
The children were picked up by their parents after school.,The parents picked up their children after school.
This is the most tallest building I've ever seen.,This is the tallest building I've ever seen.
The workers are repairing a damaged road.,The workers are repairing the damaged road.
The flowers were arranged by the florist for the wedding.,The florist arranged the flowers for the wedding.
The store closes at 9:00pm and opens at 8:00am.,The store closes at 9:00 pm and opens at 8:00 am.
Can you send me the deets for the event?,Can you send me the details for the event?
Some of countries have strict visa requirements.,Some countries have strict visa requirements.
The car is parked behind the building.,The car is parked in back of the building.
"The book, fascinating, couldn't put it down.",The book was so fascinating that I couldn't put it down.
This material is most more durable than the other one.,This material is more durable than the other one.
The collection of stamps have been growing steadily.,The collection of stamps has been growing steadily.
The faculty in the department is diverse and experienced.,The faculty in the department are diverse and experienced.
"To succeed in business, one must be dedicated, work hard, and you need to network.","To succeed in business, one must be dedicated, work hard, and network."
She loves to travel... visited over 20 countries.,She loves to travel and has visited over 20 countries.
"He's smart, but he's lazy.",He's smart but lazy.
He is waiting in the bus stop.,He is waiting at the bus stop.
"He's a big ol' boy, ain't he?","He's a big boy, isn't he?"
we went to paris last summer.,We went to Paris last summer.
"At 3 PM in the afternoon, I have a meeting.","At 3 PM, I have a meeting."
"Absence makes the heart grow fonder, but out of sight, out of mind.",Absence makes the heart grow fonder.
Did you finish an work you had to do?,Did you finish the work you had to do?
The hotel I stayed in it had great service.,The hotel where I stayed had great service.
The families in the neighborhood brings food to the potluck.,The families in the neighborhood bring food to the potluck.
The TV show is less funnier than the original.,The TV show is less funny than the original.
They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
"If you will finish your homework, you can watch TV.","If you finish your homework, you can watch TV."
The weather was terrible... flight got delayed.,"The weather was terrible, and our flight got delayed."
He's an expert in SEO and SEM strat.,He's an expert in search engine optimization and search engine marketing strategies.
"The software allows users to edit images, create designs, and sharing their work.","The software allows users to edit images, create designs, and share their work."
This is the most more spacious room in the house.,This is the more spacious room in the house.
The movie was based on a true storey.,The movie was based on a true story.
He's chip off old block.,He's a chip off the old block.
"If anyone finishes their work early, they can leave.","If anyone finishes his or her work early, he or she can leave."
